,video_id,comments,comments_no_stopwords
0,t0Yf43ONyNo,"['I just did a graveyard spell on Taylor Alison swift', 'gee dont give away too much in the preview...', ""Oh, your sweet disposition\nAnd my wide-eyed gaze\nWe're singing in the car, getting lost upstate\nAutumn leaves falling down like pieces into place\nAnd I can picture it after all these days"", ""Just commenting to keep the comments fresh. BTW stream Taylor's Version songs!!!"", 'Beautiful', ""It's just weird"", 'Jake did nothing wrong!', 'Beautiful', 'Yasss', 'One of the most beautiful and sad short films ever. Your talent and mind is pure magic and perfection. One of the BEST songwritters in the world. Congratulations for this amazing project 🤎🤎🤎']","[""['I"", 'graveyard', 'spell', 'Taylor', 'Alison', ""swift',"", ""'gee"", 'dont', 'give', 'away', 'much', ""preview...',"", '""Oh,', 'sweet', 'disposition\\nAnd', 'wide-eyed', ""gaze\\nWe're"", 'singing', 'car,', 'getting', 'lost', 'upstate\\nAutumn', 'leaves', 'falling', 'like', 'pieces', 'place\\nAnd', 'I', 'picture', 'days"",', '""Just', 'commenting', 'keep', 'comments', 'fresh.', 'BTW', 'stream', ""Taylor's"", 'Version', 'songs!!!"",', ""'Beautiful',"", '""It\'s', 'weird"",', ""'Jake"", 'nothing', ""wrong!',"", ""'Beautiful',"", ""'Yasss',"", ""'One"", 'beautiful', 'sad', 'short', 'films', 'ever.', 'Your', 'talent', 'mind', 'pure', 'magic', 'perfection.', 'One', 'BEST', 'songwritters', 'world.', 'Congratulations', 'amazing', 'project', ""🤎🤎🤎']""]"
1,iTNZ-OzBoBo,"['Hey just write ✍ ✍ a girl going to jail looking for your new stuff', 'I’m finding all moonlight and midnight themes everywhere now!', 'I love Taylor Swift 💘💘💘💘', 'I love Taylor Swift ❤️❤️❤️❤️', 'I love Taylor Swift 💖💖💖💖', 'I love Taylor Swift 💖💖💖💖', 'I love Taylor Swift ♥️♥️♥️♥️', 'I love Taylor Swift ❣️❣️❣️❣️', 'I love Taylor Swift 💕💕💕💕', 'I love Taylor Swift 💞💞💞💞']","[""['Hey"", 'write', '✍', '✍', 'girl', 'going', 'jail', 'looking', 'new', ""stuff',"", ""'I’m"", 'finding', 'moonlight', 'midnight', 'themes', 'everywhere', ""now!',"", ""'I"", 'love', 'Taylor', 'Swift', ""💘💘💘💘',"", ""'I"", 'love', 'Taylor', 'Swift', ""❤️❤️❤️❤️',"", ""'I"", 'love', 'Taylor', 'Swift', ""💖💖💖💖',"", ""'I"", 'love', 'Taylor', 'Swift', ""💖💖💖💖',"", ""'I"", 'love', 'Taylor', 'Swift', ""♥️♥️♥️♥️',"", ""'I"", 'love', 'Taylor', 'Swift', ""❣️❣️❣️❣️',"", ""'I"", 'love', 'Taylor', 'Swift', ""💕💕💕💕',"", ""'I"", 'love', 'Taylor', 'Swift', ""💞💞💞💞']""]"
2,H9rBt-8jiBE,"['They cut the end!!! The song didn’t finish!', 'I love Taylor Swift 💝💝💝💝', 'I love Taylor Swift 💗💗💗💗', 'I love Taylor Swift 💞💞💞💞', 'I love Taylor Swift 💕💕💕💕', 'I love Taylor Swift 💓💓💓💓', 'My girl', 'This version deserves much more attention', 'This is an amazing and magical song ❤❤❤', 'Amazing work 💖💖💖']","[""['They"", 'cut', 'end!!!', 'The', 'song', 'didn’t', ""finish!',"", ""'I"", 'love', 'Taylor', 'Swift', ""💝💝💝💝',"", ""'I"", 'love', 'Taylor', 'Swift', ""💗💗💗💗',"", ""'I"", 'love', 'Taylor', 'Swift', ""💞💞💞💞',"", ""'I"", 'love', 'Taylor', 'Swift', ""💕💕💕💕',"", ""'I"", 'love', 'Taylor', 'Swift', ""💓💓💓💓',"", ""'My"", ""girl',"", ""'This"", 'version', 'deserves', 'much', ""attention',"", ""'This"", 'amazing', 'magical', 'song', ""❤❤❤',"", ""'Amazing"", 'work', ""💖💖💖']""]"
3,sViZJopFdYg,"['Willow has more versions than covid’s', 'This is the best version for me. Hands down', 'Listenihg to taylor swifts songs everydayyy', 'This version is amazing 💖💖💖', 'i love you taylor swift <33', '🌹', 'Beautiful', '< Sparks Fly From the Willow Bark /I\\ Gather To Burn My Sorrow Tonight To Stay Longer Universe Eyes >', 'First time hearing any version. Love it.', 'Ay, me gusta esta melodia para bailarla 🙈😌💕']","[""['Willow"", 'versions', ""covid’s',"", ""'This"", 'best', 'version', 'me.', 'Hands', ""down',"", ""'Listenihg"", 'taylor', 'swifts', 'songs', ""everydayyy',"", ""'This"", 'version', 'amazing', ""💖💖💖',"", ""'i"", 'love', 'taylor', 'swift', ""<33',"", ""'🌹',"", ""'Beautiful',"", ""'<"", 'Sparks', 'Fly', 'From', 'Willow', 'Bark', '/I\\\\', 'Gather', 'To', 'Burn', 'My', 'Sorrow', 'Tonight', 'To', 'Stay', 'Longer', 'Universe', 'Eyes', "">',"", ""'First"", 'time', 'hearing', 'version.', 'Love', ""it.',"", ""'Ay,"", 'gusta', 'esta', 'melodia', 'para', 'bailarla', ""🙈😌💕']""]"
4,qybUgW7eoZQ,"['this song sounds like a spell.... in a nice way', 'its so cute how much she loves this song', ""Is anyone here in 2022 listening to this version? The views are too low. Let's stream it together"", 'Amazing', 'Awesome 😍❤️', 'Everyone will have their own version ❤❤❤❤❤', 'Few days before 1 year of evermore i will love always this album in which it made me swiftie', 'Love you Taylor 😻😻😸😺', 'Taylor swift my queen 🤍', '💗💗']","[""['this"", 'song', 'sounds', 'like', 'spell....', 'nice', ""way',"", ""'its"", 'cute', 'much', 'loves', ""song',"", '""Is', 'anyone', '2022', 'listening', 'version?', 'The', 'views', 'low.', ""Let's"", 'stream', 'together"",', ""'Amazing',"", ""'Awesome"", ""😍❤️',"", ""'Everyone"", 'version', ""❤❤❤❤❤',"", ""'Few"", 'days', '1', 'year', 'evermore', 'love', 'always', 'album', 'made', ""swiftie',"", ""'Love"", 'Taylor', ""😻😻😸😺',"", ""'Taylor"", 'swift', 'queen', ""🤍',"", ""'💗💗']""]"
5,7XLW5CvDQ7E,"['Does she have scoliosis', ""Is this the version in the Grammy's?"", ""I'm intrigued with MIDNIGHTS, so i decided to listen to FOLKLORE & EVERMORE... and i'm confused now about how many version does WILLOW have???"", 'I love Taylor Swift 💕💕💕💕', 'I love Taylor Swift 💝💝💝💝', 'I love Taylor Swift 💗💗💗💗', 'I love Taylor Swift 💞💞💞💞', 'I love Taylor Swift 💓💓💓💓', 'claro, claro que me voy a escuchar las 238943934 versiones de willow, tqm taylor <3', 'Amazing 🥰🤩']","[""['Does"", ""scoliosis',"", '""Is', 'version', 'Grammy\'s?"",', '""I\'m', 'intrigued', 'MIDNIGHTS,', 'decided', 'listen', 'FOLKLORE', '&', 'EVERMORE...', ""i'm"", 'confused', 'many', 'version', 'WILLOW', 'have???"",', ""'I"", 'love', 'Taylor', 'Swift', ""💕💕💕💕',"", ""'I"", 'love', 'Taylor', 'Swift', ""💝💝💝💝',"", ""'I"", 'love', 'Taylor', 'Swift', ""💗💗💗💗',"", ""'I"", 'love', 'Taylor', 'Swift', ""💞💞💞💞',"", ""'I"", 'love', 'Taylor', 'Swift', ""💓💓💓💓',"", ""'claro,"", 'claro', 'que', 'voy', 'escuchar', 'las', '238943934', 'versiones', 'de', 'willow,', 'tqm', 'taylor', ""<3',"", ""'Amazing"", ""🥰🤩']""]"
6,3CUM7Z3TSmY,"['I love this song sooooooo much!!!', 'I love how there’s a bunch of different versions of it with different beats ❤️❤️❤️😝❤️❤️❤️', 'All these versions are too underrated 😭', 'https://youtube.com/channel/UC_KuLgDxB7r0ZRw19huAjdw', 'Anyone here in 2022?', 'A MUST WATCH awesome rendition of ""Mean"" by a ten-year-old girl! 👍👍https://youtu.be/K2U5I_wKxXQ 👀👀👍👍', '*i was here*', 'Take out 2000 versions of this song and we are still gonna be obsessed', 'WHY ARE THESE COMMENTS ALL EXPIRED RISE SWIFTIE', '#TaylorSwift']","[""['I"", 'love', 'song', 'sooooooo', ""much!!!',"", ""'I"", 'love', 'there’s', 'bunch', 'different', 'versions', 'different', 'beats', ""❤️❤️❤️😝❤️❤️❤️',"", ""'All"", 'versions', 'underrated', ""😭',"", ""'https://youtube.com/channel/UC_KuLgDxB7r0ZRw19huAjdw',"", ""'Anyone"", ""2022?',"", ""'A"", 'MUST', 'WATCH', 'awesome', 'rendition', '""Mean""', 'ten-year-old', 'girl!', '👍👍https://youtu.be/K2U5I_wKxXQ', ""👀👀👍👍',"", ""'*i"", ""here*',"", ""'Take"", '2000', 'versions', 'song', 'still', 'gonna', ""obsessed',"", ""'WHY"", 'ARE', 'THESE', 'COMMENTS', 'ALL', 'EXPIRED', 'RISE', ""SWIFTIE',"", ""'#TaylorSwift']""]"
7,CYHt7_RANiY,"['I love Taylor Swift 💘💘💘💘', 'I love Taylor Swift ❤️❤️❤️❤️', 'I love Taylor Swift 💖💖💖💖', 'I love Taylor Swift ♥️♥️♥️♥️', 'I love Taylor Swift ❣️❣️❣️❣️', 'I love Taylor Swift 💕💕💕💕', 'I love Taylor Swift 💞💞💞💞', 'I love Taylor Swift 💗💗💗💗', 'I love Taylor Swift 💝💝💝💝', 'I love Taylor Swift 💓💓💓💓']","[""['I"", 'love', 'Taylor', 'Swift', ""💘💘💘💘',"", ""'I"", 'love', 'Taylor', 'Swift', ""❤️❤️❤️❤️',"", ""'I"", 'love', 'Taylor', 'Swift', ""💖💖💖💖',"", ""'I"", 'love', 'Taylor', 'Swift', ""♥️♥️♥️♥️',"", ""'I"", 'love', 'Taylor', 'Swift', ""❣️❣️❣️❣️',"", ""'I"", 'love', 'Taylor', 'Swift', ""💕💕💕💕',"", ""'I"", 'love', 'Taylor', 'Swift', ""💞💞💞💞',"", ""'I"", 'love', 'Taylor', 'Swift', ""💗💗💗💗',"", ""'I"", 'love', 'Taylor', 'Swift', ""💝💝💝💝',"", ""'I"", 'love', 'Taylor', 'Swift', ""💓💓💓💓']""]"
8,qAGef4MdPdE,"['omg i feel so bad for her!!! she has been standing for so long! i hope her legs and everything start to heal! i can stay still for only 10 seconds and i will start hurting', 'I love Taylor Swift 💓💓💓💓', 'I love Taylor Swift 💝💝💝💝', 'I love Taylor Swift 💗💗💗💗', 'I love Taylor Swift 💞💞💞💞', 'I love Taylor Swift 💕💕💕💕', 'I love Taylor Swift ❣️❣️❣️❣️', 'I love Taylor Swift ♥️♥️♥️♥️', 'I love Taylor Swift 💖💖💖💖', 'I love Taylor Swift ❤️❤️❤️❤️']","[""['omg"", 'feel', 'bad', 'her!!!', 'standing', 'long!', 'hope', 'legs', 'everything', 'start', 'heal!', 'stay', 'still', '10', 'seconds', 'start', ""hurting',"", ""'I"", 'love', 'Taylor', 'Swift', ""💓💓💓💓',"", ""'I"", 'love', 'Taylor', 'Swift', ""💝💝💝💝',"", ""'I"", 'love', 'Taylor', 'Swift', ""💗💗💗💗',"", ""'I"", 'love', 'Taylor', 'Swift', ""💞💞💞💞',"", ""'I"", 'love', 'Taylor', 'Swift', ""💕💕💕💕',"", ""'I"", 'love', 'Taylor', 'Swift', ""❣️❣️❣️❣️',"", ""'I"", 'love', 'Taylor', 'Swift', ""♥️♥️♥️♥️',"", ""'I"", 'love', 'Taylor', 'Swift', ""💖💖💖💖',"", ""'I"", 'love', 'Taylor', 'Swift', ""❤️❤️❤️❤️']""]"
9,jgdFUoZzCI0,"['阿哈', 'Taylor : Start with what you love the most.\nMe : Taylor Swift', ""I don't know why but I really cried while watching this omyy Taylor your the best❣️😭"", 'I love you taylor 💙', 'LOVE YOU', 'Taylor❤️, i just love you very much!😭', 'In these two albums we can know how well Joe alwyn treated her🥺😩💖', 'Did she released another album just few months after folklore', 'She give us so many signs 😅', 'Taylor, your life is a gift to us. You are inspiring. In these trying times, you give us all gifts. We rely to your music to feel uplifted. It has been so hard. But you give us something to look forward to. I am crying now.']","[""['阿哈',"", ""'Taylor"", ':', 'Start', 'love', 'most.\\nMe', ':', 'Taylor', ""Swift',"", '""I', 'know', 'I', 'really', 'cried', 'watching', 'omyy', 'Taylor', 'best❣️😭"",', ""'I"", 'love', 'taylor', ""💙',"", ""'LOVE"", ""YOU',"", ""'Taylor❤️,"", 'love', ""much!😭',"", ""'In"", 'two', 'albums', 'know', 'well', 'Joe', 'alwyn', 'treated', ""her🥺😩💖',"", ""'Did"", 'released', 'another', 'album', 'months', ""folklore',"", ""'She"", 'give', 'us', 'many', 'signs', ""😅',"", ""'Taylor,"", 'life', 'gift', 'us.', 'You', 'inspiring.', 'In', 'trying', 'times,', 'give', 'us', 'gifts.', 'We', 'rely', 'music', 'feel', 'uplifted.', 'It', 'hard.', 'But', 'give', 'us', 'something', 'look', 'forward', 'to.', 'I', 'crying', ""now.']""]"
