,title
0,All Too Well (The Short Film) | Official Trailer
1,Taylor Swift - willow (moonlit witch version) - [yule log]
2,Taylor Swift - willow (lonely witch version) - [yule log]
3,Taylor Swift - willow (dancing witch version) - [yule log]
4,Taylor Swift - willow - [yule log]
5,Taylor Swift - willow (moonlit witch version)
6,Taylor Swift - willow (dancing witch version) - storyboards from the willow music video
7,Taylor Swift - willow (lonely witch version) - music video behind the scenes
8,Taylor Swift - willow - dancing witch version (Elvira remix)
9,Taylor Swift – folklore: the long pond studio sessions | Official Trailer | Disney+
10,Taylor Swift - The Man (Behind The Scenes: The Umpire)
11,Miss Americana | Official Trailer
12,Taylor Swift - The Making Of Christmas Tree Farm
13,How To Be A Cat
14,Taylor Swift - Lover (First Dance Remix)
15,Taylor Swift - Lover Remix Feat. Shawn Mendes (Lyric Video)
16,Lover Album Photoshoot: Behind The Scenes
17,"Taylor’s Diary -  Discusses Getting Her First Cat Meredith Grey, Tour and Middle School"
18,Taylor Swift Answers Questions From Fans From Lover’s Lounge Live
19,Taylor’s Diary - My 13 Year Old Self (Exclusive Reading from Deluxe Edition Lover Album)
20,Taylor Swift - The Archer First Ever Live Performance
21,Taylor Swift - Lover's Lounge (Live)
22,Taylor Swift - Livestream Announcement (8/22/19 @ 5pm EST)
23,You Need To Calm Down Behind The Scenes: Friends & Neighbors
24,You Need To Calm Down Behind The Scenes: Morning Routine
25,You Need To Calm Down Behind The Scenes: Pop Queen Pageant
26,Taylor Swift - ME! (Live on The Graham Norton Show)
27,ME! Behind The Scenes: Je Suis Calme
28,ME! Behind The Scenes: The Story of Benjamin Button
29,Taylor Swift reputation Stadium Tour | Official Trailer | Netflix
30,Taylor Swift and Robbie Williams - Angels - reputation Stadium Tour
31,Taylor Swift reputation Stadium Tour - Official Merch
32,Taylor Swift reputation Stadium Tour // Trailer 2
33,Delicate Music Video Dance Rehearsal Part 2
34,Delicate Music Video Dance Rehearsal Part 1
35,End Game - Behind The Scenes
36,Taylor Swift's reputation Stadium Tour - Trailer
37,Taylor Swift - …Ready for It? (BloodPop® Remix) (Audio)
38,The Making of a Song: “Delicate” – watch more on Taylor Swift NOW
39,The reputation Secret Sessions
40,...Ready For It? Trailer
41,Look What You Made Me Do - Looks
42,Look What You Made Me Do - Stream Co.
43,Taylor Swift Live Stream
44,Look What You Made Me Do - The Birdcage
45,Look What You Made Me Do - Zombie Transformation
46,Look What You Made Me Do: Taylor Mountain
47,Taylor Swift - ...Ready For It? (Audio)
48,"Official ""Look What You Made Me Do"" Video Teaser Clip"
49,"Rehearsing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" for DIRECTV NOW Super Saturday Night"
50,"First time hearing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" on the radio"
51,"Taylor performs ""Blank Space"" at The GRAMMY Museum"
52,"Taylor Performs ""Wildest Dreams"" at The GRAMMY Museum"
53,#STYLEmemories One
54,#STYLEmemories Two
55,Taylor Swift's Gift Giving of 2014 | SWIFTMAS
56,"Behind The Fragrance, Taylor Swift Incredible Things featuring Taylor Swift (Behind The Scenes)"
57,Taylor Swift's The 1989 World Tour
58,"Preview ""Welcome To New York"" by Taylor Swift"
59,"Taylor Swift talks about ""Welcome to New York"""
60,"1989 Secret Sessions, Behind The Scenes!"
61,"Taylor Swift Talks About ""Out Of The Woods"""
62,Taylor Swift Ice Bucket Challenge with Jamie King
63,Taylor Swift's Worldwide Live Stream on Yahoo - Highlights
64,Surprising Gena
65,Taylor Swift RED Tour Asia announcement
66,Taylor Swift Fragrances Made Of Starlight Musical Edition
67,Taylor Swift RED Tour Nashville Week
68,Taylor Swift RED Tour London announcement
69,Taylor Swift and Jennifer Lopez: Jenny from the Block
70,Behind the scenes of Taylor Swift's week at Staples Center
71,Taylor Swift on Style: Outtakes
72,Taylor Swift on Style: Part 4
73,Taylor Swift on Style: Part 3
74,"Q&A with Taylor on Taylor By Taylor Swift, the fragrance"
75,#HiFromTaylor Teaser
76,Taylor Swift and Carly Simon: You're So Vain
77,Welcome to the Official Taylor Swift YouTube Channel!
78,Taylor by Taylor Swift Fragrance Video Part 1
79,Taylor By Taylor Swift commercial: sneak peek
80,Britain's Got Talent performance: Everything Has Changed
81,Taylor Swift - Billboard Milestone Award
82,The RED Tour Australia/New Zealand Announcement!
83,Vote Taylor Swift ACM Entertainer of the Year: VoteACM.com
84,"""Red"" Guitar Solo from RED Tour Opening Night"
85,"""Holy Ground"" Live on the RED Tour!"
86,"""Sparks Fly"" (acoustic) Live on the RED Tour!"
87,What Fans Can Expect on the RED Tour
